date,priceOpen,priceHigh,priceLow,priceClose,volume
2023-11-15,36491.78757755401,36753.352187624136,34948.500276144616,35537.640515525054,23857403554.48
2023-11-06,35090.01302136603,35340.33971907179,34594.242577125166,35049.355924023635,12412743995.66
2023-11-05,34736.3234106715,35256.03274651799,34616.69333590463,35082.19722085255,9561294263.72
2023-11-02,34657.27532449595,35527.931560767465,34170.69259009812,35437.25318108723,22446272004.73
2023-11-01,34500.077738404965,34719.25404921463,34083.30945920267,34667.779360546745,15758270810.39
2023-10-31,34531.74137398919,34843.93549965057,34110.97396275001,34502.36466323515,17184860315.15
2023-10-30,34089.37173931879,34743.26241563235,33947.567177942576,34538.48208811027,11160323986.4
2023-10-29,33907.723653860434,34399.38897762545,33874.80478363995,34089.575872222245,10160330824.97
2023-10-28,34156.50068624584,34238.210771029786,33416.88548599963,33909.799284311055,16418032871.14
2023-10-27,34504.28742231323,34832.90854019843,33762.32328945471,34156.64982838871,19427195375.76
2023-10-26,33916.044054764105,35133.75756928053,33709.11030997213,34502.820891545154,25254318008.32
2023-10-25,33077.3039477251,35150.43349875471,32880.761730370104,33901.52656336352,44934999644.84
2023-10-24,30140.68486297176,34370.438769449385,30097.82874227834,33086.23296857776,38363572311.35
2023-10-23,29918.655035349915,30199.43311179201,29720.31344961577,29993.896524372045,10446520039.78
2023-10-22,29683.38181721833,30287.481648650417,29481.75231422402,29918.411667928853,11541146995.56
2023-10-21,28732.811547629823,30104.08561297428,28601.670157124805,29682.94927360356,21536125230.44
2023-10-20,28332.415305722483,28892.473676820835,28177.987543782023,28719.80613290645,14448058194.96
2023-10-19,28413.53080769047,28889.009589156663,28174.252550951336,28328.34115199262,12724128585.67
2023-10-18,28522.09816591931,28618.75238982949,28110.186117224013,28415.74813970713,14872527507.52
2023-10-17,27162.628228881626,29448.13903714385,27130.47347816684,28519.46667944904,27833876539.05
2023-10-16,26858.011725691675,27289.170319398087,26817.894010481687,27159.65291878015,7098201979.78
